Date,Region,Indicator,Value
2000-12-31,GIN,BCG_coverage_pct,81.0
2000-12-31,GIN,DTP3_coverage_pct,46.0
2000-12-31,GIN,HepB3_coverage_pct,0.0
2000-12-31,GIN,MCV1_measles_coverage_pct,42.0
2000-12-31,GMB,BCG_coverage_pct,99.0
2000-12-31,GMB,DTP3_coverage_pct,80.0
2000-12-31,GMB,HepB3_coverage_pct,91.0
2000-12-31,GMB,MCV1_measles_coverage_pct,89.0
2000-12-31,GNB,BCG_coverage_pct,77.0
2000-12-31,GNB,DTP3_coverage_pct,49.0
2000-12-31,GNB,HepB3_coverage_pct,0.0
2000-12-31,GNB,MCV1_measles_coverage_pct,71.0
2000-12-31,GNQ,BCG_coverage_pct,73.0
2000-12-31,GNQ,DTP3_coverage_pct,35.0
2000-12-31,GNQ,HepB3_coverage_pct,0.0
2000-12-31,GNQ,MCV1_measles_coverage_pct,50.0
2000-12-31,GRC,DTP3_coverage_pct,89.0
2000-12-31,GRC,HepB3_coverage_pct,89.0
2000-12-31,GRC,MCV1_measles_coverage_pct,89.0
2000-12-31,GRD,DTP3_coverage_pct,97.0
2000-12-31,GRD,HepB3_coverage_pct,0.0
2000-12-31,GRD,MCV1_measles_coverage_pct,92.0
2000-12-31,GTM,BCG_coverage_pct,95.0
2000-12-31,GTM,DTP3_coverage_pct,81.0
2000-12-31,GTM,HepB3_coverage_pct,0.0
2000-12-31,GTM,MCV1_measles_coverage_pct,86.0
2000-12-31,GUY,BCG_coverage_pct,93.0
2000-12-31,GUY,DTP3_coverage_pct,88.0
2000-12-31,GUY,HepB3_coverage_pct,0.0
2000-12-31,GUY,MCV1_measles_coverage_pct,86.0
2000-12-31,HND,BCG_coverage_pct,99.0
2000-12-31,HND,DTP3_coverage_pct,94.0
2000-12-31,HND,HepB3_coverage_pct,93.0
2000-12-31,HND,MCV1_measles_coverage_pct,98.0
2000-12-31,HRV,BCG_coverage_pct,98.0
2000-12-31,HRV,DTP3_coverage_pct,93.0
2000-12-31,HRV,HepB3_coverage_pct,0.0
2000-12-31,HRV,MCV1_measles_coverage_pct,93.0
2000-12-31,HTI,BCG_coverage_pct,72.0
2000-12-31,HTI,DTP3_coverage_pct,44.0
2000-12-31,HTI,HepB3_coverage_pct,0.0
2000-12-31,HTI,MCV1_measles_coverage_pct,54.0
2000-12-31,HUN,BCG_coverage_pct,99.0
2000-12-31,HUN,DTP3_coverage_pct,99.0
2000-12-31,HUN,HepB3_coverage_pct,0.0
2000-12-31,HUN,MCV1_measles_coverage_pct,99.0
2000-12-31,IDN,BCG_coverage_pct,81.0
2000-12-31,IDN,DTP3_coverage_pct,75.0
2000-12-31,IDN,HepB3_coverage_pct,65.0
2000-12-31,IDN,MCV1_measles_coverage_pct,76.0
2000-12-31,IND,BCG_coverage_pct,74.0
2000-12-31,IND,DTP3_coverage_pct,58.0
2000-12-31,IND,HepB3_coverage_pct,0.0
2000-12-31,IND,MCV1_measles_coverage_pct,56.0
2000-12-31,IRL,BCG_coverage_pct,89.0
2000-12-31,IRL,DTP3_coverage_pct,86.0
